Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,1,1,SF,4/22/2021 8:00,2021,2023,Outside Villages,Outside Villages,Northwest,5,-122.3733325,47.71804814,5.30E+14,Detached Single-Family
Construction Permit,4,4,MF,12/31/2018 8:00,2018,2024,Outside Villages,Outside Villages,Central,3,-122.2988458,47.61949334,5.30E+14,Rowhouse
Construction Permit,168,168,MIXED,7/7/2022 8:00,2022,2024,Capitol Hill,Urban Center Village,East,3,-122.3271214,47.61919535,5.30E+14,Apartment
Construction Permit,1,1,DADU,6/17/2021 8:00,2021,2022,23rd & Union-Jackson,Residential Urban Village,Central,3,-122.2971289,47.60239869,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,12/8/2020 8:00,2020,2022,Outside Villages,Outside Villages,East,3,-122.2850417,47.63063089,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,12/8/2020 8:00,2020,2022,Outside Villages,Outside Villages,East,3,-122.2850417,47.63063089,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,6,6,MF,11/3/2021 8:00,2021,2023,,,,,,,,Apartment
Construction Permit,1,1,ADU,9/13/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.323281,47.71801267,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,3,3,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3138094,47.71808748,5.30E+14,Rowhouse
Construction Permit,1,1,SF,2/26/2020 8:00,2020,2021,Outside Villages,Outside Villages,Northwest,5,-122.3145088,47.71803078,5.30E+14,Detached Single-Family
Construction Permit,5,5,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3134946,47.7180523,5.30E+14,Townhouse
Construction Permit,1,1,SF,2/26/2020 8:00,2020,2021,Outside Villages,Outside Villages,Northwest,5,-122.3145084,47.71813359,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,12/19/2022 8:00,2022,2024,Outside Villages,Outside Villages,Northwest,5,-122.3138111,47.71819363,5.30E+14,Rowhouse
Construction Permit,104,104,MF,5/16/2025 8:00,2025,2025,Lake City,Hub Urban Village,North,5,-122.2974112,47.71812658,5.30E+14,Apartment
Construction Permit,1,1,SF,12/18/2018 8:00,2018,2020,Outside Villages,Outside Villages,Northwest,5,-122.3729661,47.71318941,5.30E+14,Detached Single-Family
